15000,1035247
20000,1340379
25000,1675361
30000,3390027
35000,2345361
40000,5820990
45000,5085027
50000,12879264
55000,3685431
60000,15449920
65000,4485247
70000,7910027
75000,8475027
80000,9040027
85000,5695369
90000,10170027
95000,10735027
100000,14550714
105000,27046032
110000,12430027
115000,7935247
120000,13560027
